"X_coord","Y_COORD","HABITAT"
289000,5219260,1
289000,5220260,0
289000,5221260,1
289000,5222260,1
289000,5223260,1
289000,5224260,1
289000,5225260,1
289000,5226260,0
289000,5227260,1
289000,5228260,1
289000,5229260,1
289000,5230260,1
289000,5231260,1
289000,5232260,1
289000,5233260,1
289000,5234260,1
289000,5235260,1
289000,5236260,1
289000,5237260,1
289000,5238260,1
289000,5239260,1
289000,5240260,1
289000,5241260,1
289000,5242260,1
289000,5243260,1
289000,5244260,1
289000,5245260,1
289000,5246260,1
289000,5247260,1
289000,5248260,1
289000,5249260,1
289000,5250260,1
289000,5251260,0
289000,5252260,1
289000,5253260,1
289000,5254260,0
289000,5255260,1
289000,5256260,1
289000,5257260,1
289000,5258260,1
289000,5259260,1
289000,5260260,1
289000,5261260,1
289000,5262260,1
289000,5263260,1
289000,5264260,0
289000,5265260,1
289000,5266260,1
289000,5267260,1
290000,5163260,1
290000,5164260,1
290000,5165260,1
290000,5166260,1
290000,5167260,1
290000,5168260,1
290000,5169260,1
290000,5170260,1
290000,5171260,1
290000,5172260,1
290000,5173260,1
290000,5174260,1
290000,5175260,1
290000,5176260,1
290000,5177260,1
290000,5178260,1
290000,5179260,1
290000,5180260,1
290000,5181260,1
290000,5182260,1
290000,5183260,1
290000,5184260,0
290000,5185260,0
290000,5186260,0
290000,5187260,1
290000,5188260,1
290000,5189260,1
290000,5190260,1
290000,5191260,1
290000,5192260,1
290000,5193260,1
290000,5194260,1
290000,5195260,1
290000,5196260,1
290000,5197260,1
290000,5198260,1
290000,5199260,1
290000,5200260,1
290000,5201260,1
290000,5202260,1
290000,5203260,1
290000,5204260,0
290000,5205260,1
290000,5206260,1
290000,5207260,1
290000,5208260,0
290000,5209260,1
290000,5210260,1
290000,5211260,1
290000,5212260,1
290000,5213260,1
290000,5214260,1
290000,5215260,1
290000,5216260,1
290000,5217260,1
290000,5218260,1
290000,5219260,1
290000,5220260,0
290000,5221260,1
290000,5222260,1
290000,5223260,1
290000,5224260,1
290000,5225260,1
290000,5226260,1
290000,5227260,1
290000,5228260,1
290000,5229260,1
290000,5230260,1
290000,5231260,1
290000,5232260,1
290000,5233260,1
290000,5234260,1
290000,5235260,1
290000,5236260,1
290000,5237260,1
290000,5238260,1
290000,5239260,1
290000,5240260,0
290000,5241260,1
290000,5242260,1
290000,5243260,1
290000,5244260,1
290000,5245260,1
290000,5246260,1
290000,5247260,1
290000,5248260,1
290000,5249260,1
290000,5250260,1
290000,5251260,1
290000,5252260,1
290000,5253260,1
290000,5254260,0
290000,5255260,1
290000,5256260,1
290000,5257260,1
290000,5258260,1
290000,5259260,1
290000,5260260,1
290000,5261260,1
290000,5262260,1
290000,5263260,1
290000,5264260,0
290000,5265260,1
290000,5266260,1
290000,5267260,0
291000,5163260,1
291000,5164260,1
291000,5165260,1
291000,5166260,1
291000,5167260,1
291000,5168260,1
291000,5169260,1
291000,5170260,1
291000,5171260,1
291000,5172260,1
291000,5173260,1
291000,5174260,0
291000,5175260,1
291000,5176260,1
291000,5177260,0
291000,5178260,1
291000,5179260,1
291000,5180260,1
291000,5181260,1
291000,5182260,0
291000,5183260,1
291000,5184260,0
291000,5185260,0
291000,5186260,1
291000,5187260,1
291000,5188260,1
291000,5189260,1
291000,5190260,1
291000,5191260,1
291000,5192260,1
291000,5193260,1
291000,5194260,1
291000,5195260,1
291000,5196260,0
291000,5197260,1
291000,5198260,0
291000,5199260,1
291000,5200260,1
291000,5201260,1
291000,5202260,1
291000,5203260,1
291000,5204260,1
291000,5205260,1
291000,5206260,1
291000,5207260,1
291000,5208260,1
291000,5209260,0
291000,5210260,1
291000,5211260,1
291000,5212260,1
291000,5213260,1
291000,5214260,1
291000,5215260,1
291000,5216260,1
291000,5217260,1
291000,5218260,1
291000,5219260,1
291000,5220260,1
291000,5221260,1
291000,5222260,1
291000,5223260,1
291000,5224260,1
291000,5225260,1
291000,5226260,1
291000,5227260,1
291000,5228260,1
291000,5229260,1
291000,5230260,1
291000,5231260,0
291000,5232260,1
291000,5233260,1
291000,5234260,1
291000,5235260,1
291000,5236260,1
291000,5237260,1
291000,5238260,0
291000,5239260,1
291000,5240260,1
